ID,plot,habitat,site,treatment,spec,species,genus,family,group,height,dweight,fweight,leafa,LDMC,SLA,wN,d15N,wC,d13C,CN_ratio
210,X5C,ridge,5,control,Rholap,Rhododendron lapponicum,Rhododendron,Ericaceae,dS,1.4666666666666666,0.0194,0.05283333333333333,1.7386666666666666,0.3768329825642079,89.12354507262661,1.66,-6.05,52.63,-28.22,31.70481928
225,X5SF,ridge,5,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2.3,0.018033333333333332,0.0451,NA,0.40271195405182103,NA,1.04,-8.69,49.1,-29.34,47.21153846
96,X5SF,ridge,5,snowfence,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,1.4333333333333333,0.024966666666666668,0.04476666666666666,NA,0.564766515765979,NA,0.57,-7.82,53.87,-29.54,94.50877193
NA,X5SF,ridge,5,snowfence,Juntri,Juncus trifidus,Juncus,Juncaceae,G,4.6,0.0108,0.0284,1.04,0.38028169014084506,96.29629629629629,NA,NA,NA,NA,NA
122,E4C,heath,4,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,4.433333333333334,0.0272,0.07623333333333333,2.0020000000000002,0.3577531711296986,78.41306623767939,1.61,-7.66,52.04,-29.62,32.32298137
298,X5SF,ridge,5,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0.7666666666666667,0.0225,0.047766666666666666,0.851,0.47104898676644846,38.37815379527519,0.72,-4.78,47.55,-28.24,66.04166667
211,X5SF,ridge,5,snowfence,Rholap,Rhododendron lapponicum,Rhododendron,Ericaceae,dS,1.2999999999999998,0.0104,0.02525,0.8735,0.41181458451102315,84.3462962962963,NA,NA,NA,NA,NA
150,E4C,heath,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,4.733333333333333,0.0445,0.13643333333333335,5.288666666666667,0.32366548906860865,122.83826018936873,1.71,-2.15,48.8,-30.39,28.5380117
251,E4C,heath,4,control,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,5.8999999999999995,0.0248,0.12173333333333333,6.5409999999999995,0.20933231956729437,263.1035857955334,4.46,-1.06,45.64,-29.02,10.23318386
163,E4C,heath,4,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,8.066666666666666,0.05556666666666667,0.24806666666666666,6.805,0.23544226991235187,124.87162556953058,2.27,-4.6,47.14,-28.07,20.76651982
171,E4C,heath,4,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,16.1,0.0276,0.07436666666666666,4.452,0.3678722813864253,162.14871276920326,1.32,1.1,41.83,-27.94,31.68939394
107,E4C,heath,4,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,10.066666666666666,0.042366666666666664,0.12646666666666667,7.027,0.3347906631800328,166.13438652196575,2.62,1.56,46.08,-26.65,17.58778626
243,E4C,heath,4,control,Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F,5.433333333333334,0.031233333333333335,0.08846666666666667,2.723,0.3698096115708217,87.02394861689342,1.08,1.63,38.36,-29.31,35.51851852
296,E4C,heath,4,control,Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F,5.866666666666666,0.032766666666666666,0.12433333333333334,4.776666666666666,0.26319763316275463,146.30643857254452,1.44,-6.88,46.86,-29.66,32.54166667
271,E3C,heath,3,control,Equpra,Equisetum pratense,Equisetum,Equisetaceae,F,12.866666666666667,0.08863333333333333,0.32966666666666666,11.234333333333332,0.26754201117117504,126.36565284173007,1.69,2.93,35.88,-28.12,21.23076923
172,E3C,heath,3,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,15.333333333333334,0.023,0.05623333333333334,3.227,0.40424496134752425,150.15142398716407,1.1,1.35,43.51,-26.63,39.55454545
180,E3C,heath,3,control,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,8.333333333333332,0.057499999999999996,0.13226666666666667,3.6736666666666666,0.43326480059449185,66.73710317460318,0.87,-7.63,49.62,-29.98,57.03448276
123,E3C,heath,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,5.233333333333333,0.021,0.05009,1.4496666666666667,0.421821231202759,68.34720304612331,1.06,-10.16,51.65,-29.6,48.72641509
197,E3C,heath,3,control,Sallap,Salix lapponum,Salix,Salicaceae,dS,29.333333333333332,0.23563333333333333,0.6135666666666666,21.37066666666667,0.38914411139859245,88.71116621759847,2.16,-1.21,50.06,-27.76,23.17592593
242,E3C,heath,3,control,Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F,7.7,0.039433333333333334,0.1018,2.720666666666667,0.3871822044387594,69.13630159852323,0.74,2.7,38.08,-28.35,51.45945946
168,E3SF,heath,3,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,20.066666666666666,0.04643333333333333,0.1183,6.548666666666667,0.39259033506465174,140.08838783689905,1.07,0.78,44.02,-27.16,41.14018692
108,E3SF,heath,3,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,9.033333333333333,0.0388,0.11366666666666667,6.028666666666667,0.3372865995318692,159.56284050525602,1.72,2.32,45.51,-27.45,26.45930233
149,E3SF,heath,3,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,5.133333333333333,0.06276666666666667,0.16696666666666668,7.313666666666666,0.3719162717728801,122.35924560321705,1.18,-3.33,48.39,-30.71,41.00847458
179,E3SF,heath,3,snowfence,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,4.733333333333333,0.0275,0.07200000000000001,2.5053333333333336,0.38211261941968755,91.16527351322019,0.95,-6.41,50.54,-30.42,53.2
148,E2C,heath,2,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.966666666666667,0.04613333333333333,0.1226,5.291666666666667,0.3749316910125869,116.50255808510114,1.26,-4.88,49.23,-30.85,39.07142857
297,E2C,heath,2,control,Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F,3.1333333333333333,0.04293333333333334,0.13156666666666667,5.107666666666667,0.3279888450411466,122.65551215588951,1.74,-0.7,46.65,-29.1,26.81034483
169,E2C,heath,2,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,21.8,0.053066666666666665,0.1291,6.539,0.40070248294715227,125.3517055358818,1.26,-0.5,44.04,-25.81,34.95238095
178,E2C,heath,2,control,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,4.6,0.03886666666666667,0.08303333333333333,2.5583333333333336,0.46965431940801405,65.69846999641206,0.84,-12.31,50.87,-30.6,60.55952381
196,E2C,heath,2,control,Sallap,Salix lapponum,Salix,Salicaceae,dS,19.866666666666667,0.14876666666666666,0.3783666666666667,14.03,0.3953182645855453,93.65340180223437,1.39,-2.35,48.92,-28.79,35.1942446
NA,E2C,heath,2,control,Linbor,Linnaea borealis,Linnaea,Caprifoliaceae,F,1.2333333333333334,0.0157,0.044366666666666665,2.2676666666666665,0.35386511673834065,144.43050824818005,NA,NA,NA,NA,NA
270,E2C,heath,2,control,Equpra,Equisetum pratense,Equisetum,Equisetaceae,F,12.633333333333333,0.06876666666666667,0.2531,7.677666666666667,0.27056534008026417,112.3889655236836,1.8,0.65,39.22,-27.52,21.78888889
109,E2C,heath,2,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,9.2,0.040266666666666666,0.11243333333333333,5.912333333333334,0.36254432695657035,148.01215565256663,2.08,0.78,45.89,-28.2,22.0625
170,E2SF,heath,2,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,17.7,0.03973333333333333,0.10576666666666668,5.812666666666667,0.37197090244361597,150.33440813563672,0.9,0.16,44.15,-27.92,49.05555556
183,E2SF,heath,2,snowfence,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,4.5,0.05753333333333333,0.12553333333333333,3.681,0.44898885838303476,67.82482934451198,0.9,-8.28,50.16,-29.56,55.73333333
147,E2SF,heath,2,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,4.033333333333333,0.048933333333333336,0.1189,5.099666666666667,0.4119007353392714,104.04108648597925,1.12,-2.81,48.7,-30.04,43.48214286
195,E2SF,heath,2,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,23.533333333333335,0.1412,0.3647,15.017333333333333,0.3873120978701707,106.72029892656919,1.7,-1.77,48.78,-29.63,28.69411765
227,X2SF,ridge,2,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2.8,0.042133333333333335,0.10053333333333332,3.214666666666667,0.42274029641539385,77.39195416878066,1.35,-4.17,49.08,-28.89,36.35555556
99,X2SF,ridge,2,snowfence,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.8333333333333334,0.03476666666666667,0.06713333333333334,1.555,0.5190431271400253,45.08085129763406,0.57,-5.86,53.65,-29.77,94.12280702
226,X2C,ridge,2,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2.6,0.037,0.08566666666666667,2.685,0.43187161291174264,72.63246465927793,1.27,-7.07,48.69,-29.83,38.33858268
98,X2C,ridge,2,control,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.5,0.029533333333333335,0.0606,1.2113333333333334,0.4894000567612495,40.91050733314465,0.76,-3.54,53.51,-28.93,70.40789474
268,X2C,ridge,2,control,Juntri,Juncus trifidus,Juncus,Juncaceae,G,11.766666666666667,0.0843,0.22543333333333335,4.233,0.373266597086413,51.607744339172285,1.73,1.92,48.65,-26.96,28.12138728
294,X2C,ridge,2,control,Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F,0.26666666666666666,0.013966666666666665,0.13566666666666666,2.8806666666666665,0.10426519696105033,207.80531573701657,1.11,1.71,41.34,-27.84,37.24324324
177,E1C,heath,1,control,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,2.8333333333333335,0.0477,0.1171,3.4549999999999996,0.4060140670028375,74.80800458791028,1.16,-9.64,50.19,-30.21,43.26724138
146,E1C,heath,1,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.533333333333333,0.03936666666666667,0.09596666666666666,3.613,0.40810361459572364,93.10186032324631,1.14,-5.02,48.53,-30.51,42.57017544
173,E1C,heath,1,control,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,12.799999999999999,0.0196,0.0506,2.856,0.38598967951949503,147.138733183115,1.03,-0.3,43.2,-28.26,41.94174757
110,E1C,heath,1,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,5.866666666666667,0.02263333333333333,0.06306666666666666,3.433333333333333,0.35828995862531454,151.47474717676909,1.36,1.86,46.29,-27.86,34.03676471
255,E1C,heath,1,control,Fesovi,Festuca ovina,Festuca,Poaceae,G,8.466666666666667,0.016966666666666668,0.039266666666666665,1.3916666666666666,0.4314202835242024,82.1252230777237,0.88,0.8,45.14,-30.04,51.29545455
162,E1C,heath,1,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,7.733333333333333,0.03836666666666667,0.15596666666666667,5.213333333333334,0.24531438084113477,135.62839774720086,1.65,-5.42,46.79,-28.25,28.35757576
250,E1SF,heath,1,snowfence,Astalp,Astragalus alpinus,Astragalus,Fabaceae,F,5.9,0.043533333333333334,0.16783333333333333,7.464666666666667,0.25442811016404077,181.1502258968579,3.29,-0.47,45.75,-28.47,13.90577508
174,E1SF,heath,1,snowfence,Callap,Calamagrostis lapponicum,Calamagrostis,Poaceae,G,20.866666666666667,0.04323333333333333,0.10386666666666666,6.0023333333333335,0.40994792858104656,142.94600958663645,0.93,-4.35,43.1,-26.78,46.34408602
256,E1SF,heath,1,snowfence,Fesovi,Festuca ovina,Festuca,Poaceae,G,7.866666666666666,0.017833333333333333,0.038733333333333335,1.5053333333333332,0.4582352326687657,85.68385053121408,0.88,-3.94,44.35,-29.57,50.39772727
239,E1SF,heath,1,snowfence,Salarb,Salix arbuscula,Salix,Salicaceae,dS,15.200000000000001,0.07963333333333333,0.2275,11.383333333333333,0.3518331117728768,142.13958510984176,1.62,-2.64,47.99,-28.19,29.62345679
176,E1SF,heath,1,snowfence,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,8,0.04806666666666667,0.10406666666666667,3.601,0.4633680296089055,75.47902546124922,0.89,-9.01,51.43,-29.57,57.78651685
145,E1SF,heath,1,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,4.933333333333334,0.04206666666666667,0.1151,5.078666666666667,0.36536585130413,120.50968011983147,1.32,-3.66,49.5,-30.11,37.5
287,E1SF,heath,1,snowfence,Saualp,Saussurea alpina,Saussurea,Asteraceae,F,5.566666666666666,0.09146666666666667,0.4027,10.667,0.22357566158571557,120.64525431466213,1.05,-4.39,44.15,-29.46,42.04761905
111,E1SF,heath,1,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,6.033333333333333,0.036333333333333336,0.10333333333333333,5.224,0.3539428448410319,143.91616369674907,1.31,0.52,45.39,-28.61,34.64885496
300,E1SF,heath,1,snowfence,Pedlap,Pedicularis lapponicum,Pedicularis,Orobanchaceae,F,3.4333333333333336,0.0365,0.13016666666666668,4.447666666666667,0.2805521217030794,122.92140688302764,1.15,-5.64,48.26,-29.64,41.96521739
301,E1SF,heath,1,snowfence,Thaalp,Thalictrum alpinum,Thalictrum,Ranunculaceae,F,7.133333333333334,0.042166666666666665,0.12516666666666668,5.4206666666666665,0.3367157197316509,126.79403462510243,1.39,-7.87,44.65,-29.12,32.12230216
144,X1C,ridge,1,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.1,0.0349,0.08410000000000001,NA,0.41958132163785794,NA,1.29,0.03,49.44,-30.21,38.3255814
175,X1C,ridge,1,control,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,2.8,0.031033333333333333,0.06709999999999999,2.167,0.4625945488411321,70.32080610021787,0.74,-6.74,50.9,-30.56,68.78378378
97,X1C,ridge,1,control,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,0.8666666666666667,0.03033333333333333,0.059133333333333336,1.3163333333333334,0.5199199285810043,43.48904504238718,0.73,-6.31,54.06,-29.04,74.05479452
302,X1C,ridge,1,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0.8666666666666667,0.032966666666666665,0.07266666666666667,1.391,0.4539472361647622,41.949474348307035,0.83,-5.07,47.44,-28.85,57.15662651
303,X1SF,ridge,1,snowfence,Vacvit,Vaccinium vitis-idaea,Vaccinium,Ericaceae,eS,3.5,0.037066666666666664,0.08016666666666666,2.531,0.4604172294011043,68.86404274814112,1.22,0.16,45.45,-30.51,37.25409836
91,X1SF,ridge,1,snowfence,Loipro,Loiseleuria procumbens,Loiseleuria,Ericaceae,eS,1.4333333333333333,0.038233333333333334,0.0733,1.66,0.5205270442340696,44.13030546758491,0.69,-6.95,53.92,-29.49,78.14492754
269,X1SF,ridge,1,snowfence,Juntri,Juncus trifidus,Juncus,Juncaceae,G,9.533333333333333,0.05376666666666667,0.14783333333333334,5.090333333333334,0.36417302008384134,100.94502607500185,1.53,0.39,46.41,-27.61,30.33333333
NA,D3SF,meadow,3,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,4.266666666666667,0.019200000000000002,0.043633333333333336,1.261,0.43283600111736376,69.72596439282557,NA,NA,NA,NA,NA
194,D3SF,meadow,3,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,17.2,0.1022,0.2375,9.401666666666667,0.43277062555543394,92.11503183647415,1.5,-0.69,52.23,-29.19,34.82
304,D3SF,meadow,3,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,8,0.0269,0.1121,3.244333333333333,0.2435919534895644,121.16982506714032,2.89,-2.49,47.68,-26.66,16.4982699
112,D3SF,meadow,3,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,9,0.0295,0.07796666666666667,4.809,0.38142132802564266,163.1798922845849,2.35,1.25,46.05,-26.94,19.59574468
100,D3SF,meadow,3,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,4.733333333333333,0.006166666666666667,0.019133333333333336,0.6846666666666666,0.3243104903482262,115.4800584204022,1.73,0.52,47.17,-28.6,27.26589595
230,D3SF,meadow,3,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,8.533333333333333,0.035866666666666665,0.10796666666666667,5.855333333333333,0.3326459178093499,166.43408967776546,2.07,0.08,45.34,-29.24,21.90338164
221,D3SF,meadow,3,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,8.3,0.0396,0.1238,4.884333333333333,0.3274580052774627,125.57011816113177,1.85,-0.37,45.87,-28.54,24.79459459
265,D3SF,meadow,3,snowfence,Tofpus,Tofielda pusilla,Tofielda,Tofieldiaceae,F,2.3666666666666667,0.0109,0.0388,1.514,0.2701186282718847,147.2870669712775,NA,NA,NA,NA,NA
307,D3SF,meadow,3,snowfence,Rholap,Rhododendron lapponicum,Rhododendron,Ericaceae,dS,5.4,0.020966666666666665,0.054,1.7826666666666666,0.38194784858897723,85.73837074956896,1.66,-7.36,52.85,-26.52,31.8373494
135,D3SF,meadow,3,snowfence,Trices,Trichophorum cespitosum,Trichophorum,Cyperaceae,G,12.7,0.0721,0.1887,5.638333333333334,0.38646324954584665,77.75608395724967,2.05,-0.57,47.15,-27.38,23
306,D3SF,meadow,3,snowfence,Erivag,Eriophorum vaginatum,Eriophorum,Cyperaceae,G,9.5,0.0176,0.05173333333333333,1.486,0.3341562881446525,85.26367816091954,1.96,1.02,47.7,-28.88,24.33673469
308,D3SF,meadow,3,snowfence,Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F,0.6333333333333333,0.005366666666666666,0.0628,NA,0.08465573669679055,NA,NA,NA,NA,NA,NA
NA,D3SF,meadow,3,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0.4,0.0165,0.0326,1.079,0.5061349693251534,65.39393939393939,NA,NA,NA,NA,NA
309,D3SF,meadow,3,snowfence,Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F,2.1666666666666665,0.018833333333333334,0.04643333333333333,1.7483333333333333,0.40877966484279565,93.59467175596207,1.17,2.41,39.18,-27.4,33.48717949
NA,D3C,meadow,3,control,Trices,Trichophorum cespitosum,Trichophorum,Cyperaceae,G,11.533333333333333,0.042133333333333335,0.11130000000000001,3.7926666666666664,0.3747558382458236,96.92007976261931,NA,NA,NA,NA,NA
113,D3C,meadow,3,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,6.6,0.027266666666666665,0.0813,5.125666666666667,0.34003962571318097,187.48654786862335,1.62,-1.09,44.28,-29.51,27.33333333
101,D3C,meadow,3,control,Cardio,Carex dioica,Carex,Cyperaceae,G,3.7,0.008233333333333334,0.023833333333333335,1.089,0.3447318502342038,134.3894876142869,1.64,0.38,46.14,-27.66,28.13414634
276,D3C,meadow,3,control,Hupsel,Huperzea selago,Huperzea,Lycopodiaceae,eS,4.966666666666667,0.004966666666666667,0.011733333333333333,0.5906666666666667,0.42251131221719457,120.25676937441642,1.06,-1.38,51.73,-29.08,48.80188679
220,D3C,meadow,3,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,7.1000000000000005,0.0262,0.08056666666666668,3.8396666666666666,0.3231536805923307,163.92858736979957,1.6,-1.05,48.26,-28.42,30.1625
264,D3C,meadow,3,control,Tofpus,Tofielda pusilla,Tofielda,Tofieldiaceae,F,1.6333333333333333,0.009766666666666667,0.028766666666666666,1.8076666666666668,0.3393439295632864,186.78590352746627,1.06,-1.24,46.69,-28.6,44.04716981
277,D3C,meadow,3,control,Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F,2.6666666666666665,0.028766666666666666,0.08406666666666666,3.4983333333333335,0.34099395903847735,122.88268924477471,1.8,-0.01,46.9,-28.61,26.05555556
125,D3C,meadow,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,5.4,0.0276,0.06396666666666667,1.7026666666666666,0.43389803834736923,64.16387352661863,1.32,-7.56,51.85,-28.43,39.28030303
134,D3C,meadow,3,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,5.4,0.0276,0.06396666666666667,1.7026666666666666,0.43389803834736923,64.16387352661863,1.88,-1.89,46.46,-28.8,24.71276596
165,D3C,meadow,3,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,5.3,0.03733333333333333,0.14803333333333335,5.0456666666666665,0.24703943291291286,144.1674367352456,2.76,-2.08,48.66,-27.17,17.63043478
278,D3C,meadow,3,control,Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F,0.43333333333333335,0.005366666666666666,0.06436666666666667,1.8743333333333334,0.08216940774122485,368.67108300712636,1.31,-1.54,46.26,-30.8,35.3129771
114,D4SF,meadow,4,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,6.333333333333333,0.041433333333333336,0.11393333333333333,6.610333333333333,0.365454950195741,164.3313695169581,1.84,0.69,45.13,-28.3,24.52717391
232,D4SF,meadow,4,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,5.633333333333333,0.03133333333333333,0.0868,NA,0.3521486502683555,NA,2.18,-0.01,45.72,-28,20.97247706
102,D4SF,meadow,4,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,7.366666666666666,0.016466666666666668,0.042466666666666666,1.704,0.3881775360319282,108.89659245140473,2.1,1.26,45.1,-28.36,21.47619048
279,D4SF,meadow,4,snowfence,Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F,3.4,0.0706,0.1936,7.602666666666667,0.3592046237162683,119.54267807081972,1.89,1.28,48.61,-28.82,25.71957672
206,D4SF,meadow,4,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,20.333333333333332,0.17256666666666667,0.4131666666666667,15.963000000000001,0.4186317184107248,94.3912776228334,1.9,-0.11,51.05,-28.94,26.86842105
219,D4SF,meadow,4,snowfence,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,8.333333333333332,0.0377,0.12469999999999999,4.502666666666666,0.3014312847764902,123.01049531944304,2.01,0.95,45.58,-28.64,22.67661692
193,D4SF,meadow,4,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,7.2,0.045233333333333334,0.20106666666666667,6.065333333333333,0.23900014357075164,134.42883453216987,2.09,-1.35,45.87,-27.72,21.94736842
156,D4SF,meadow,4,snowfence,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,3.6666666666666665,0.0392,0.0989,4.7763333333333335,0.3917170933365287,124.63774464663136,1.47,0.08,49.84,-30.26,33.9047619
126,D4SF,meadow,4,snowfence,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,3.933333333333333,0.016533333333333334,0.044866666666666666,1.204,0.36789162125830366,76.02287079706434,1.29,-7.23,51.63,-28.9,40.02325581
136,D4SF,meadow,4,snowfence,Trices,Trichophorum cespitosum,Trichophorum,Cyperaceae,G,16.166666666666668,0.08583333333333333,0.23566666666666666,6.860333333333333,0.3639751611532476,82.50222607143944,1.94,0.41,46.64,-28.35,24.04123711
280,D4SF,meadow,4,snowfence,Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F,0.5333333333333333,0.012866666666666667,0.15806666666666666,4.208666666666667,0.07788278790453025,334.6464646464646,1.19,0.76,44.85,-30.58,37.68907563
281,D4SF,meadow,4,snowfence,Tofpus,Tofielda pusilla,Tofielda,Tofieldiaceae,F,1.9000000000000001,0.012033333333333333,0.03866666666666667,1.6383333333333334,0.31393257946474523,135.12636932959956,1.4,-0.22,46.4,-28.62,33.14285714
249,D4SF,meadow,4,snowfence,Equsci,Equisetum scirpoides,Equisetum,Equisetaceae,F,2.966666666666667,0.017633333333333334,0.0462,1.385,0.34501142586771166,82.52452908973034,1.75,4.34,40.93,-28.01,23.38857143
115,D4C,meadow,4,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,6.699999999999999,0.0424,0.11076666666666667,NA,0.38313849020068186,NA,1.73,1.43,46.02,-27.83,26.60115607
103,D4C,meadow,4,control,Cardio,Carex dioica,Carex,Cyperaceae,G,6.9,0.017425,0.042625,2.07625,0.4102620453152512,119.34690710840313,1.67,0.92,46.47,-26.52,27.82634731
231,D4C,meadow,4,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,8.933333333333334,0.03746666666666667,0.0984,5.7796666666666665,0.3741378517159159,175.20756744351016,1.91,0.69,46.18,-27.6,24.17801047
137,D4C,meadow,4,control,Trices,Trichophorum cespitosum,Trichophorum,Cyperaceae,G,14.2,0.08825,0.22139999999999999,7.830500000000001,0.39905141949319656,89.35922758328095,2.13,-0.4,47.55,-27.03,22.32394366
155,D4C,meadow,4,control,Arcalp,Arctostaphylos alpinus,Arctostaphylos,Ericaceae,dS,2.966666666666667,0.040600000000000004,0.0915,4.450333333333333,0.444134872710148,116.55373747936723,1.19,-2.62,49.85,-29.6,41.8907563
127,D4C,meadow,4,control,Andpol,Andromeda polifolia,Andromeda,Ericaceae,dS,2.7333333333333334,0.027133333333333332,0.0593,2.677,0.4563388324008956,97.66502788350974,1.09,-7.17,51.56,-28.71,47.30275229
192,D4C,meadow,4,control,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,9.466666666666667,0.052533333333333335,0.2157,6.719666666666667,0.24493276139184048,128.52556111228,2.5,-2.51,47.29,-26.64,18.916
282,D4C,meadow,4,control,Rubcha,Rubus chamaemorus,Rubus,Rosaceae,F,3.533333333333333,0.07383333333333333,0.20543333333333333,7.380333333333334,0.3598989566229579,99.74387464579931,1.93,1.44,48.72,-28.02,25.24352332
283,D4C,meadow,4,control,Pinvul,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,F,0.9333333333333333,0.0154,0.2199,8.860333333333333,0.06828736965217418,579.4631407819,1.54,0.2,45.26,-29.78,29.38961039
205,D4C,meadow,4,control,Sallap,Salix lapponum,Salix,Salicaceae,dS,16.133333333333333,0.13443333333333332,0.33603333333333335,14.078333333333333,0.39884175883577694,107.52554936222407,1.63,-2.22,50.07,-30.18,30.71779141
209,D4C,meadow,4,control,Rholap,Rhododendron lapponicum,Rhododendron,Ericaceae,dS,3.9,0.039933333333333335,0.0944,3.3083333333333336,0.419445362869924,84.95404161302866,1.41,-6.66,52.09,-28.56,36.94326241
263,D4C,meadow,4,control,Tofpus,Tofielda pusilla,Tofielda,Tofieldiaceae,F,1.9333333333333333,0.021933333333333332,0.06433333333333333,2.2063333333333333,0.3409139211359161,103.17313951898092,1.04,0.39,46.12,-28.52,44.34615385
218,D4C,meadow,4,control,Baralp,Bartia alpina,Bartia,Orobanchaceae,F,10.299999999999999,0.04816666666666667,0.1478,6.117333333333334,0.32531598946897755,133.60209131233844,2.11,-0.59,47.42,-28.05,22.47393365
204,D5SF,meadow,5,snowfence,Sallap,Salix lapponum,Salix,Salicaceae,dS,41.833333333333336,0.26213333333333333,0.6696,23.553333333333335,0.3930106080062201,92.94834113512235,2.2,0.53,50.34,-28.74,22.88181818
240,D5SF,meadow,5,snowfence,Salarb,Salix arbuscula,Salix,Salicaceae,dS,32.666666666666664,0.13163333333333332,0.31253333333333333,13.769333333333334,0.41677575082944357,106.35516807349316,1.66,0.77,50.85,-30.38,30.63253012
191,D5SF,meadow,5,snowfence,Bisviv,Bistorta vivipara,Bistorta,Polygonaceae,F,7.966666666666666,0.11103333333333333,0.44226666666666664,12.356333333333334,0.25196376778370555,114.11578165427645,2.72,1.52,47.09,-27.65,17.3125
