plot,habitat,site,treatment,spec,species,genus,family,group,hits,cover
D2SF,meadow,2,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,78,17.687074829931973
D2C,meadow,2,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,66,14.965986394557824
D3SF,meadow,3,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,68,15.419501133786847
D3C,meadow,3,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,8,1.8140589569160999
D4SF,meadow,4,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,123,27.89115646258503
D4C,meadow,4,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,177,40.136054421768705
D5SF,meadow,5,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,154,34.92063492063492
D5C,meadow,5,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,145,32.87981859410431
E1SF,heath,1,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,23,5.215419501133787
E1C,heath,1,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,1,0.22675736961451248
E2SF,heath,2,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
E2C,heath,2,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,1,0.22675736961451248
E3SF,heath,3,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,4,0.9070294784580499
E3C,heath,3,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
E4SF,heath,4,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,1,0.22675736961451248
E4C,heath,4,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,19,4.308390022675737
E5SF,heath,5,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,9,2.0408163265306123
E5C,heath,5,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X1SF,ridge,1,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X1C,ridge,1,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X2SF,ridge,2,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X2C,ridge,2,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X3SF,ridge,3,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X3C,ridge,3,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X4SF,ridge,4,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X4C,ridge,4,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X5SF,ridge,5,snowfence,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
X5C,ridge,5,control,Carbig,Carex bigelowii,Carex,Cyperaceae,G,0,0
D1SF,meadow,1,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D1C,meadow,1,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D2SF,meadow,2,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,34,7.709750566893423
D2C,meadow,2,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D3SF,meadow,3,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D3C,meadow,3,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D4SF,meadow,4,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D4C,meadow,4,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D5SF,meadow,5,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D5C,meadow,5,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,22,4.988662131519274
E1SF,heath,1,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E1C,heath,1,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E2SF,heath,2,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E2C,heath,2,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E3SF,heath,3,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E3C,heath,3,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E4SF,heath,4,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E4C,heath,4,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E5SF,heath,5,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
E5C,heath,5,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X1SF,ridge,1,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X1C,ridge,1,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X2SF,ridge,2,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X2C,ridge,2,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X3SF,ridge,3,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X3C,ridge,3,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X4SF,ridge,4,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X4C,ridge,4,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X5SF,ridge,5,snowfence,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
X5C,ridge,5,control,Carcap,Carex capillaris,Carex,Cyperaceae,G,0,0
D1SF,meadow,1,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,51,11.564625850340136
D1C,meadow,1,control,Cardio,Carex dioica,Carex,Cyperaceae,G,30,6.802721088435375
D2SF,meadow,2,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,5,1.1337868480725624
D2C,meadow,2,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
D3SF,meadow,3,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,25,5.6689342403628125
D3C,meadow,3,control,Cardio,Carex dioica,Carex,Cyperaceae,G,28,6.349206349206349
D4SF,meadow,4,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,174,39.455782312925166
D4C,meadow,4,control,Cardio,Carex dioica,Carex,Cyperaceae,G,302,68.48072562358276
D5SF,meadow,5,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
D5C,meadow,5,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E1SF,heath,1,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E1C,heath,1,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E2SF,heath,2,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E2C,heath,2,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E3SF,heath,3,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E3C,heath,3,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E4SF,heath,4,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E4C,heath,4,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E5SF,heath,5,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
E5C,heath,5,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X1SF,ridge,1,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X1C,ridge,1,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X2SF,ridge,2,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X2C,ridge,2,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X3SF,ridge,3,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X3C,ridge,3,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X4SF,ridge,4,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X4C,ridge,4,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X5SF,ridge,5,snowfence,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
X5C,ridge,5,control,Cardio,Carex dioica,Carex,Cyperaceae,G,0,0
D1SF,meadow,1,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,10,2.2675736961451247
D1C,meadow,1,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,22,4.988662131519274
D2SF,meadow,2,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,2,0.45351473922902497
D2C,meadow,2,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
D3SF,meadow,3,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,2,0.45351473922902497
D3C,meadow,3,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
D4SF,meadow,4,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,1,0.22675736961451248
D4C,meadow,4,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,2,0.45351473922902497
D5SF,meadow,5,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,3,0.6802721088435374
D5C,meadow,5,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,1,0.22675736961451248
E1SF,heath,1,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,7,1.5873015873015872
E1C,heath,1,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,2,0.45351473922902497
E2SF,heath,2,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E2C,heath,2,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E3SF,heath,3,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E3C,heath,3,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E4SF,heath,4,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E4C,heath,4,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E5SF,heath,5,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
E5C,heath,5,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X1SF,ridge,1,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X1C,ridge,1,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X2SF,ridge,2,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X2C,ridge,2,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X3SF,ridge,3,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X3C,ridge,3,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X4SF,ridge,4,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X4C,ridge,4,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X5SF,ridge,5,snowfence,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
X5C,ridge,5,control,Carvag,Carex vaginatum,Carex,Cyperaceae,G,0,0
D1SF,meadow,1,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D1C,meadow,1,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D2SF,meadow,2,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,2,0.45351473922902497
D2C,meadow,2,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D3SF,meadow,3,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,4,0.9070294784580499
D3C,meadow,3,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D4SF,meadow,4,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D4C,meadow,4,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D5SF,meadow,5,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D5C,meadow,5,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E1SF,heath,1,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E1C,heath,1,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E2SF,heath,2,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E2C,heath,2,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E3SF,heath,3,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E3C,heath,3,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E4SF,heath,4,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E4C,heath,4,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E5SF,heath,5,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
E5C,heath,5,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X1SF,ridge,1,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X1C,ridge,1,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X2SF,ridge,2,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X2C,ridge,2,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X3SF,ridge,3,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X3C,ridge,3,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X4SF,ridge,4,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X4C,ridge,4,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X5SF,ridge,5,snowfence,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
X5C,ridge,5,control,Castet,Cassiope tetragona,Cassiope,Ericaceae,eS,0,0
D1SF,meadow,1,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D1C,meadow,1,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D2SF,meadow,2,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D2C,meadow,2,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D3SF,meadow,3,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D3C,meadow,3,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D4SF,meadow,4,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D4C,meadow,4,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D5SF,meadow,5,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D5C,meadow,5,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E1SF,heath,1,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E1C,heath,1,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E2SF,heath,2,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E2C,heath,2,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E3SF,heath,3,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E3C,heath,3,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E4SF,heath,4,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E4C,heath,4,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E5SF,heath,5,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
E5C,heath,5,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X1SF,ridge,1,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,3,0.6802721088435374
X1C,ridge,1,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X2SF,ridge,2,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X2C,ridge,2,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X3SF,ridge,3,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X3C,ridge,3,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X4SF,ridge,4,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X4C,ridge,4,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X5SF,ridge,5,snowfence,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
X5C,ridge,5,control,Dessp.,Deschampsia sp.,Deschampsia,Poaceae,G,0,0
D1SF,meadow,1,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D1C,meadow,1,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D2SF,meadow,2,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D2C,meadow,2,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D3SF,meadow,3,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D3C,meadow,3,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D4SF,meadow,4,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D4C,meadow,4,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D5SF,meadow,5,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D5C,meadow,5,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E1SF,heath,1,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E1C,heath,1,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E2SF,heath,2,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E2C,heath,2,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,4,0.9070294784580499
E3SF,heath,3,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E3C,heath,3,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,1,0.22675736961451248
E4SF,heath,4,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,4,0.9070294784580499
E4C,heath,4,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E5SF,heath,5,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
E5C,heath,5,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X1SF,ridge,1,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X1C,ridge,1,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,1,0.22675736961451248
X2SF,ridge,2,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X2C,ridge,2,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X3SF,ridge,3,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X3C,ridge,3,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X4SF,ridge,4,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,3,0.6802721088435374
X4C,ridge,4,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
X5SF,ridge,5,snowfence,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,4,0.9070294784580499
X5C,ridge,5,control,Dialap,Diapensia lapponica,Diapensia,Diapensiaceae,eS,0,0
D1SF,meadow,1,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D1C,meadow,1,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D2SF,meadow,2,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,4,0.9070294784580499
D2C,meadow,2,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,5,1.1337868480725624
D3SF,meadow,3,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D3C,meadow,3,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D4SF,meadow,4,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D4C,meadow,4,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D5SF,meadow,5,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
D5C,meadow,5,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E1SF,heath,1,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E1C,heath,1,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E2SF,heath,2,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E2C,heath,2,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E3SF,heath,3,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E3C,heath,3,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E4SF,heath,4,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,3,0.6802721088435374
E4C,heath,4,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E5SF,heath,5,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
E5C,heath,5,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X1SF,ridge,1,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X1C,ridge,1,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X2SF,ridge,2,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,9,2.0408163265306123
X2C,ridge,2,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,27,6.122448979591836
X3SF,ridge,3,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X3C,ridge,3,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X4SF,ridge,4,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,0,0
X4C,ridge,4,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,2,0.45351473922902497
X5SF,ridge,5,snowfence,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,12,2.7210884353741496
X5C,ridge,5,control,Dryoct,Dryas octopetala,Dryas,Rosaceae,dS,6,1.3605442176870748
D1SF,meadow,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,40,9.070294784580499
D1C,meadow,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,39,8.843537414965986
D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10,2.2675736961451247
D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3,0.6802721088435374
D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1,0.22675736961451248
D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5,1.1337868480725624
D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,34,7.709750566893423
D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,43,9.750566893424036
D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,81,18.367346938775512
D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,0,0
E1SF,heath,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,171,38.775510204081634
E1C,heath,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,355,80.49886621315193
E2SF,heath,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,266,60.317460317460316
E2C,heath,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,332,75.28344671201815
E3SF,heath,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,257,58.27664399092971
E3C,heath,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,414,93.87755102040816
E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,227,51.47392290249433
E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,347,78.68480725623583
E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,159,36.054421768707485
E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,342,77.55102040816327
X1SF,ridge,1,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,56,12.698412698412698
X1C,ridge,1,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,74,16.780045351473923
X2SF,ridge,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,52,11.791383219954648
X2C,ridge,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,26,5.895691609977324
X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,58,13.151927437641723
X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10,2.2675736961451247
X4SF,ridge,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,102,23.12925170068027
X4C,ridge,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,91,20.634920634920633
X5SF,ridge,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,47,10.657596371882086
X5C,ridge,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9,2.0408163265306123
D1SF,meadow,1,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D1C,meadow,1,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D2SF,meadow,2,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D2C,meadow,2,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D3SF,meadow,3,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D3C,meadow,3,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D4SF,meadow,4,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D4C,meadow,4,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D5SF,meadow,5,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
D5C,meadow,5,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E1SF,heath,1,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E1C,heath,1,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E2SF,heath,2,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E2C,heath,2,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E3SF,heath,3,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E3C,heath,3,control,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
E4SF,heath,4,snowfence,Equarv,Equisetum arvense,Equisetum,Equisetaceae,F,0,0
