code,plot,habitat,site,treatment,spec,species,genus,family,group,height,fweight,dweight,leafa,LDMC,SLA
D5SF8,D5SF,meadow,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.7,0.1144,0.0425,4.853663841,0.3715034965034965,114.20385508235294
D5SF9,D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.0829,0.0319,3.491803339,0.3848009650180941,109.46091971786835
D5SF10,D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10,0.1532,0.0542,6.94788933,0.3537859007832898,128.18984003690036
D5SF11,D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6.4,0.184,0.0696,8.854857129,0.3782608695652174,127.22495875000003
D5SF12,D5SF,meadow,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.8,0.1405,0.0515,7.210290096,0.36654804270462626,140.00563293203882
D4C1,D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.3,0.0637,0.0273,3.436552482,0.42857142857142855,125.8810432967033
D4C2,D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.7,0.0584,0.0256,3.02805846,0.4383561643835617,118.28353359375
D4C3,D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,8.7,0.053900000000000003,0.0209,2.963148267,0.38775510204081626,141.7774290430622
D4C4,D4C,meadow,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.4,0.0729,0.0317,3.749849274,0.4348422496570644,118.29177520504732
D4C5,D4C,meadow,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.6,0.052,0.0188,2.660299196,0.3615384615384616,141.5052763829787
D4C6,D4C,meadow,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.4,0.0422,0.0153,2.001143094,0.3625592417061611,130.7936662745098
D4C7,D4C,meadow,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.6,0.0666,0.0227,2.549116837,0.3408408408408408,112.2958959030837
D4C8,D4C,meadow,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.9,0.0682,0.0251,3.251068982,0.3680351906158358,129.5246606374502
D4C9,D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.1052,0.0495,4.210905772,0.470532319391635,85.06880347474748
D4C10,D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.9,0.0538,0.0246,2.306626354,0.4572490706319703,93.76529894308943
D4C11,D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.1,0.0547,0.0246,2.552665217,0.4497257769652651,103.7668787398374
D4C12,D4C,meadow,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.2,0.0329,0.0163,1.611556132,0.49544072948328266,98.86847435582823
D3SF1,D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,7.2,0.0764,0.0337,3.5677348,0.44109947643979064,105.86750148367953
D3SF2,D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,9.2,0.0763,0.0328,3.590835399,0.42988204456094364,109.47668899390243
D3SF3,D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6.7,0.0498,0.0219,2.612450259,0.43975903614457834,119.28996616438357
D3SF4,D3SF,meadow,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6.2,0.0799,0.0342,3.791623384,0.428035043804756,110.86618081871345
D3SF5,D3SF,meadow,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.7,0.0837,0.0363,3.590978624,0.4336917562724014,98.92503096418733
D3SF6,D3SF,meadow,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.6,0.0813,0.0365,3.882823847,0.4489544895448954,106.37873553424659
D3SF7,D3SF,meadow,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.8,0.0736,0.0292,3.252036722,0.3967391304347826,111.37112061643836
D3SF8,D3SF,meadow,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.2,0.0671,0.0267,2.864940722,0.39791356184798804,107.30115063670412
D3SF9,D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.2,0.0575,0.0221,2.523758178,0.38434782608695656,114.19720262443438
D3SF10,D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.9,0.0527,0.0239,2.384009426,0.4535104364326376,99.74934836820083
D3SF11,D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.7,0.0834,0.0333,3.216947114,0.39928057553956836,96.60501843843842
D3SF12,D3SF,meadow,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.1,0.098,0.0437,3.43241249,0.4459183673469388,78.54490823798626
D2C1,D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.8,0.096,0.0427,4.876531537,0.4447916666666667,114.2044856440281
D2C2,D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.5,0.0673,0.0294,3.239079328,0.43684992570579495,110.1727662585034
D2C3,D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.3,0.0505,0.0241,2.917682552,0.4772277227722772,121.0656660580913
D2C4,D2C,meadow,2,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.3,0.0493,0.0231,2.749134502,0.46855983772819476,119.01015160173161
D2C5,D2C,meadow,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.5,0.0767,0.0319,4.158719424,0.4159061277705345,130.36738006269593
D2C6,D2C,meadow,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.5,0.0448,0.0165,2.270049008,0.36830357142857145,137.57872775757576
D2C7,D2C,meadow,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.1,0.0588,0.0249,3.054438407,0.423469387755102,122.66820911646587
D2C8,D2C,meadow,2,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.1,0.0624,0.0253,3.223828391,0.40544871794871795,127.42404707509881
D2C9,D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.9,0.0775,0.0379,3.158667231,0.48903225806451617,83.34214329815302
D2C10,D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.7,0.0668,0.0338,3.105782176,0.5059880239520957,91.88704662721894
D2C11,D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6.2,0.0448,0.0211,1.998526326,0.4709821428571429,94.71688748815166
D2C12,D2C,meadow,2,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.4,0.0506,0.0262,2.15676988,0.5177865612648221,82.3194610687023
E4SF1,E4SF,heath,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.8,0.1185,0.0439,5.884719198,0.3704641350210971,134.04827330296126
E4SF2,E4SF,heath,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.7,0.1237,0.046,5.233035986,0.3718674211802748,113.76165186956521
E4SF3,E4SF,heath,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.8,0.1482,0.0534,7.075344559,0.3603238866396761,132.4970891198502
E4SF4,E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,14.6,0.0851,0.0344,4.880850238,0.40423031727379555,141.8851813372093
E4SF5,E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,14.7,0.0892,0.0308,4.908807602,0.3452914798206278,159.3768701948052
E4SF6,E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,11.9,0.0738,0.0326,4.273432098,0.4417344173441734,131.08687417177916
E4SF7,E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10.4,0.0583,0.0215,3.231498698,0.3687821612349914,150.3022650232558
E4SF8,E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.7,0.078,0.0346,4.134758827,0.44358974358974357,119.50170020231214
E4SF9,E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.5,0.0548,0.0233,2.341267576,0.4251824817518248,100.4835869527897
E4SF10,E4SF,heath,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.9,0.1229,0.0466,4.542768979,0.37917005695687556,97.48431285407725
E4SF11,E4SF,heath,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.4,0.0749,0.0339,3.960780466,0.4526034712950601,116.83718188790561
E4SF13,E4SF,heath,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,20.5,0.0528,0.0212,3.110047328,0.4015151515151515,146.70034566037734
E4C1,E4C,heath,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.3,0.1229,0.0512,4.786245266,0.4165988608624899,93.48135285156249
E4C2,E4C,heath,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,8.7,0.0853,0.0316,3.730351249,0.3704572098475967,118.04909015822784
E4C3,E4C,heath,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.5,0.0738,0.0262,3.29257406,0.35501355013550134,125.67076564885497
E4C4,E4C,heath,4,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.4,0.0486,0.017,4.389525414,0.3497942386831276,258.20737729411763
E4C5,E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,16.4,0.0907,0.0391,4.451962709,0.43109151047409044,113.86093884910485
E4C6,E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,6,0.0514,0.0212,3.097359612,0.41245136186770426,146.10186849056603
E4C7,E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.6,0.0785,0.0339,3.698308087,0.4318471337579618,109.09463383480826
E4C8,E4C,heath,4,control,Betnan,Betula nana,Betula,Betulaceae,dS,10.2,0.1283,0.0557,6.47192254,0.4341387373343726,116.1925052064632
E4C9,E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.7,0.0831,0.0385,3.359007476,0.4632972322503009,87.24694742857143
E4C10,E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.0874,0.0391,3.225405807,0.4473684210526316,82.49119710997442
E4C11,E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.1,0.1021,0.0451,3.913254109,0.4417238001958864,86.76838379157428
E4C12,E4C,heath,4,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.8,0.0753,0.0324,2.967538581,0.43027888446215135,91.59069694444445
X3SF1,X3SF,ridge,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.4,0.0408,0.0183,2.307629578,0.44852941176470584,126.0999769398907
X3SF2,X3SF,ridge,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.8,0.0607,0.0246,3.786372427,0.4052718286655684,153.91757833333332
X3SF3,X3SF,ridge,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.6,0.0624,0.0286,3.265925081,0.45833333333333337,114.19318465034964
X3SF4,X3SF,ridge,3,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.7,0.0534,0.0251,2.7117326410000002,0.4700374531835206,108.0371570119522
X3SF5,X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,3.3,0.0642,0.0295,3.620691468,0.4595015576323988,122.735304
X3SF6,X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,2.2,0.0652,0.0287,4.205869653,0.4401840490797546,146.54598094076655
X3SF7,X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,2.9,0.0577,0.0254,3.662662997,0.4402079722703639,144.1993305905512
X3SF8,X3SF,ridge,3,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,2.6,0.0756,0.031,3.784920817,0.41005291005291006,122.0942199032258
X3SF9,X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.6,0.1037,0.046,4.509130982,0.44358727097396333,98.0245865652174
X3SF10,X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.8,0.0599,0.0247,2.161429226,0.4123539232053422,87.50725611336033
X3SF11,X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.2,0.0475,0.0242,3.303756618,0.5094736842105263,136.5188685123967
X3SF12,X3SF,ridge,3,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.7,0.0801,0.0398,3.36225134,0.4968789013732834,84.4786768844221
X3C1,X3C,ridge,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,0.7,0.025,0.0101,1.270840039,0.40399999999999997,125.82574643564358
X3C2,X3C,ridge,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.1,0.0342,0.0142,1.650874763,0.41520467836257313,116.25878612676055
X3C3,X3C,ridge,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.1,0.0312,0.0117,1.487469928,0.37500000000000006,127.13418188034188
X3C4,X3C,ridge,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,1.6,0.0385,0.0165,2.141716362,0.4285714285714286,129.80099163636362
X3C5,X3C,ridge,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,3,0.1083,0.0522,5.851637329,0.4819944598337951,112.10033197318006
X3C6,X3C,ridge,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,2.9,0.1041,0.0452,6.377604019,0.43419788664745435,141.09743404867257
X3C7,X3C,ridge,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.8,0.0836,0.0379,4.365887397,0.4533492822966508,115.19491812664906
X3C8,X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.2,0.0996,0.0474,4.527356752,0.4759036144578313,95.51385552742617
X3C9,X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,1.7,0.0503,0.0248,2.466858937,0.49304174950298213,99.47011842741937
X3C10,X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,0.9,0.0706,0.0302,3.718809982,0.4277620396600567,123.13940337748343
X3C11,X3C,ridge,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,2.4,0.1316,0.0645,5.164058059,0.49012158054711247,80.06291564341086
E5SF1,E5SF,heath,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.3,0.0613,0.0209,2.597593514,0.34094616639477976,124.28677100478471
E5SF2,E5SF,heath,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,7.9,0.1643,0.0582,6.794376734,0.3542300669507,116.74186828178694
E5SF3,E5SF,heath,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.5,0.0639,0.024,2.818847266,0.37558685446009393,117.45196941666667
E5SF4,E5SF,heath,5,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.6,0.0915,0.0366,NA,0.4,NA
E5SF5,E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,7.7,0.0732,0.0346,4.028128073,0.47267759562841527,116.4198865028902
E5SF6,E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,7.9,0.0946,0.039,5.705006654,0.41226215644820297,146.2822218974359
E5SF7,E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,22.4,0.2032,0.0756,11.84384728,0.3720472440944882,156.66464656084656
E5SF8,E5SF,heath,5,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,13.6,0.0625,0.0269,3.731999633,0.4304,138.73604583643123
E5SF9,E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,6.9,0.1444,0.0658,5.863303757,0.4556786703601108,89.10795983282675
E5SF10,E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.8,0.1709,0.0781,7.584035154,0.4569923932124049,97.10672412291933
E5SF11,E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,9.3,0.1122,0.0521,4.989130022,0.464349376114082,95.7606530134357
E5SF12,E5SF,heath,5,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.7,0.1022,0.0474,4.231873472,0.4637964774951076,89.28003105485233
E5C1,E5C,heath,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.6,0.0429,0.0167,1.80677058,0.38927738927738925,108.18985508982037
E5C2,E5C,heath,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.8,0.0281,0.0084,1.506860857,0.298932384341637,179.38819726190476
E5C3,E5C,heath,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.1,0.0425,0.0179,2.037666247,0.42117647058823526,113.83610318435755
E5C4,E5C,heath,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.6,0.0344,0.0137,1.712541091,0.39825581395348836,125.0029993430657
E5C5,E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.2,0.0975,0.0403,4.567499897,0.41333333333333333,113.33746642679901
E5C6,E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.4,0.0743,0.0319,3.446336978,0.4293405114401076,108.03564194357368
E5C7,E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.9,0.0931,0.0372,4.802481363,0.39957035445757244,129.09896137096774
E5C8,E5C,heath,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.8,0.132,0.0546,5.467963903,0.41363636363636364,100.14585902930403
E5C9,E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.1022,0.0536,3.842483283,0.5244618395303327,71.68812095149254
E5C10,E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.3,0.1107,0.0526,4.695133836,0.47515808491418243,89.26109954372623
E5C11,E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.0866,0.0403,3.563003842,0.46535796766743653,88.41200600496278
E5C12,E5C,heath,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.5,0.0679,0.0342,2.672144978,0.5036818851251841,78.13289409356724
D5C1,D5C,meadow,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.4,0.0479,0.0185,2.498023391,0.3862212943632568,135.0282914054054
D5C2,D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.6,0.1127,0.0457,5.452157483,0.40550133096716945,119.30322719912472
D5C3,D5C,meadow,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.6,0.0809,0.0314,3.768003432,0.38813349814585907,120.00010929936306
D5C4,D5C,meadow,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.2,0.0983,0.0391,4.698108668,0.3977619532044761,120.15623191815855
D5C5,D5C,meadow,5,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.7,0.0417,0.014,2.524403338,0.33573141486810554,180.31452414285712
D5C6,D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,34.8,0.0913,0.0411,4.826710992,0.4501642935377875,117.43822364963503
D5C7,D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,14.9,0.0613,0.0279,3.047915194,0.45513866231647637,109.24427218637993
D5C8,D5C,meadow,5,control,Betnan,Betula nana,Betula,Betulaceae,dS,16.1,0.0714,0.0329,3.504652346,0.46078431372549017,106.52438741641338
D5C9,D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,8.3,0.1686,0.0827,7.15901794,0.4905100830367734,86.56611777509069
D5C10,D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.0532,0.0255,2.149458282,0.4793233082706767,84.29248164705882
D5C11,D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,10.2,0.1281,0.0566,5.174398038,0.4418423106947697,91.4204600353357
D5C12,D5C,meadow,5,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.7,0.1039,0.0504,4.543414139,0.4850818094321463,90.14710593253969
D4SF1,D4SF,meadow,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.4,0.0955,0.0291,4.8032162,0.30471204188481676,165.05897594501715
D4SF2,D4SF,meadow,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,5.3,0.089,0.0262,4.484148451,0.29438202247191014,171.15070423664122
D4SF3,D4SF,meadow,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.9,0.1033,0.0338,4.913072754,0.32720232333010646,145.35718207100592
D4SF4,D4SF,meadow,4,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,6.9,0.0913,0.0285,4.15999168,0.312157721796276,145.9646203508772
D4SF5,D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.7,0.0588,0.0231,2.605174144,0.39285714285714285,112.77810147186146
D4SF6,D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.6,0.0416,0.0172,2.650048248,0.4134615384615385,154.07257255813954
D4SF7,D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,4.6,0.1625,0.054,7.748228374,0.3323076923076923,143.48571062962964
D4SF8,D4SF,meadow,4,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,7.3,0.1902,0.072,6.159432197,0.3785488958990536,85.54766940277779
D4SF9,D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.1321,0.0586,5.4564407,0.4436033308099924,93.11332252559727
D4SF10,D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4,0.0889,0.0337,3.716874502,0.3790776152980877,110.29301192878339
D4SF11,D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.0838,0.0316,3.565118031,0.3770883054892602,112.82019085443036
D4SF12,D4SF,meadow,4,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.7,0.0648,0.0269,2.779420893,0.41512345679012347,103.32419676579926
D3C1,D3C,meadow,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.5,0.1121,0.0459,5.516888321,0.40945584299732385,120.19364533769061
D3C2,D3C,meadow,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.6,0.0228,0.0082,1.277882606,0.35964912280701755,155.83934219512193
D3C3,D3C,meadow,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.3,0.0631,0.0235,3.156051107,0.37242472266244053,134.30004710638298
D3C4,D3C,meadow,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.1,0.0394,0.0121,1.455785476,0.3071065989847716,120.31284925619835
D3C5,D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.4,0.0463,0.0205,2.748793857,0.4427645788336933,134.0875052195122
D3C6,D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,12.2,0.0507,0.0221,2.949277327,0.4358974358974359,133.451462760181
D3C7,D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,6.8,0.0534,0.0236,3.075818364,0.44194756554307113,130.33128661016949
D3C8,D3C,meadow,3,control,Betnan,Betula nana,Betula,Betulaceae,dS,7.9,0.0376,0.0165,2.351321749,0.43882978723404253,142.5043484242424
D3C9,D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,7.6,0.0665,0.029,2.76725253,0.43609022556390975,95.42250103448275
D3C10,D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.4,0.0581,0.025,2.36209205,0.43029259896729777,94.483682
D3C11,D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.9,0.0767,0.0353,2.969205674,0.46023468057366357,84.11347518413598
D3C12,D3C,meadow,3,control,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.5,0.0927,0.0381,3.618075344,0.4110032362459547,94.96260745406825
D2SF1,D2SF,meadow,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.1,0.0332,0.0143,1.830946016,0.4307228915662651,128.03818293706294
D2SF2,D2SF,meadow,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,2.3,0.0479,0.021,2.313203116,0.43841336116910234,110.15252933333332
D2SF3,D2SF,meadow,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,4.4,0.1222,0.0489,5.220240527,0.4001636661211129,106.75338501022495
D2SF4,D2SF,meadow,2,snowfence,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,3.7,0.0983,0.0434,4.6787358040000004,0.44150559511698884,107.80497244239632
D2SF5,D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,6,0.0487,0.0222,2.621105726,0.4558521560574949,118.0678254954955
D2SF6,D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.1,0.0386,0.0177,2.309117317,0.4585492227979274,130.458605480226
D2SF7,D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,5.7,0.0996,0.0416,5.452874256,0.4176706827309237,131.07870807692308
D2SF8,D2SF,meadow,2,snowfence,Betnan,Betula nana,Betula,Betulaceae,dS,3.5,0.0667,0.0287,3.791533707,0.43028485757121443,132.10918839721256
D2SF9,D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,5.1,0.0523,0.0227,2.203741399,0.43403441682600385,97.08111889867841
D2SF10,D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,4.6,0.044,0.0191,1.808724124,0.4340909090909091,94.69759811518325
D2SF11,D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.9,0.0462,0.0208,2.013472747,0.45021645021645024,96.80157437499999
D2SF12,D2SF,meadow,2,snowfence,Empnig,Empetrum nigrum,Empetrum,Ericaceae,eS,3.6,0.0897,0.038,3.991802339,0.4236343366778149,105.04742997368422
E3C1,E3C,heath,3,control,Vaculi,Vaccinium uliginosum,Vaccinium,Ericaceae,dS,9.3,0.0604,0.023,3.040495854,0.38079470198675497,132.1954719130435
